instance_id,test_rmse,train_rmse,test_nnl,train_nnl,lambda_,kernel_type,kernel_params,loss_type,precompute_time,train_time
1,0.17789527401149532,0.17806673937564815,0.789433962264151,0.8037807183364839,0.0001,poly,c=1_degree=1,cross_entrophy,0,94.24794387817383
1,0.17780947932407878,0.17789527401149532,0.7841509433962264,0.7954631379962193,0.0001,gaussian,length_scale=1.0_sigma=1.0,cross_entrophy,0,92.54124331474304
1,0.17934750442576558,0.1795175827043134,0.8173584905660377,0.8340264650283554,0.0001,sigmoid,alpha=0.5_c=1.0_sigma=1.0,cross_entrophy,0,156.8581669330597
1,0.17806673937564815,0.1781524101717403,0.7916981132075471,0.8045368620037807,0.0001,poly,c=1_degree=2,cross_entrophy,0,90.88037395477295
1,0.17806673937564815,0.1784091757292068,0.7984905660377358,0.8136105860113422,0.0001,matern,length_scale=1.0_nu=1.5_sigma=1.0,cross_entrophy,0,37.244922161102295
2,0.1781524101717403,0.17755184652130487,0.7661290322580645,0.7626016260162601,0.0001,poly,c=1_degree=2,cross_entrophy,0.15462231636047363,52.362076282501222
2,0.17832362828927073,0.1776377656390949,0.7827956989247312,0.7653116531165312,0.0001,matern,length_scale=1.0_nu=1.5_sigma=1.0,cross_entrophy,0.11581587791442871,9.753149271011353
2,0.17789527401149532,0.17664717272804709,0.763978494623656,0.7398373983739838,0.0001,gaussian,length_scale=1.0_sigma=1.0,cross_entrophy,0.13252687454223633,43.75628399848938
2,0.17789527401149532,0.1776377656390949,0.7741935483870968,0.7745257452574525,0.0001,sigmoid,alpha=0.5_c=1.0_sigma=1.0,cross_entrophy,0.15277552604675293,25.88884949684143
2,0.17737988343348013,0.17703545615038532,0.760752688172043,0.7604336043360433,0.0001,poly,c=1_degree=1,cross_entrophy,0.13029718399047852,45.461586713790894
3,0.1953906093812469,0.19507798420599645,0.7169291338582677,0.7108481262327416,0.0001,gaussian,length_scale=1.0_sigma=1.0,cross_entrophy,0,91.63694548606873
3,0.19640320453088336,0.19609219371892395,0.7362204724409449,0.7333333333333333,0.0001,sigmoid,alpha=0.5_c=1.0_sigma=1.0,cross_entrophy,0.14538073539733887,60.50087261199951
3,0.19523435936874686,0.19507798420599645,0.7165354330708661,0.7159763313609467,0.0001,poly,c=1_degree=1,cross_entrophy,0.1391763687133789,110.43940019607544
3,0.19570273515430234,0.1953125,0.7188976377952756,0.716370808678501,0.0001,poly,c=1_degree=2,cross_entrophy,0.15370941162109375,110.27973651885986
4,0.2635488717723906,0.2618061887518131,0.7218181818181818,0.7004545454545454,0.0001,poly,c=1_degree=2,cross_entrophy,0.14673614501953125,47.33191394805908
4,0.2634330515638651,0.261689597256941,0.7290909090909091,0.6968181818181818,0.0001,matern,length_scale=1.0_nu=2.0_sigma=1.0,cross_entrophy,0.12298083305358887,47.57316541671753
4,0.2635488717723906,0.2614562582918986,0.7290909090909091,0.6959090909090909,0.0001,gaussian,length_scale=1.0_sigma=1.0,cross_entrophy,0.1304333209991455,40.41659212112427
4,0.2638960274071021,0.26238836912104163,0.73,0.7031818181818181,0.0001,sigmoid,alpha=0.5_c=1.0_sigma=1.0,cross_entrophy,0.14392352104187012,37.7494432926178
4,0.26308528500754275,0.2615729537934876,0.7204545454545455,0.6986363636363636,0.0001,poly,c=1_degree=1,cross_entrophy,0.14329862594604492,46.269023180007935
4,0.26366464110447196,0.2619227283475033,0.7218181818181818,0.7009090909090909,0.0001,poly,c=1_degree=2,cross_entrophy,0,47.37364912033081
5,0.2239886122942414,0.2225534302069393,0.7995098039215687,0.7495,0.0001,matern,length_scale=1.0_nu=2.0_sigma=1.0,cross_entrophy,0.12581944465637207,47.89842486381531
5,0.22371595411369302,0.22234764798058917,0.7897058823529411,0.7455,0.0001,gaussian,length_scale=1.0_sigma=1.0,cross_entrophy,0,39.80769371986389
5,0.22439697838039174,0.2232380009723367,0.7990196078431373,0.763,0.0001,sigmoid,alpha=0.5_c=1.0_sigma=1.0,cross_entrophy,0.13198161125183105,37.74557876586914
5,0.22378414980316413,0.22262198201210948,0.7926470588235294,0.753,0.0001,poly,c=1_degree=1,cross_entrophy,0.13618779182434082,47.37382626533508
5,0.22432896899001922,0.2230328503690656,0.7955882352941176,0.7545,0.0001,poly,c=1_degree=2,cross_entrophy,0.14586138725280762,47.940775632858276
